,Dining Hall,Meal Period,Station,Dish,Serving Size,Calories (kcal),Total Lipid/Fat (g),Saturated fatty acid (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Total Dietary Fiber (g),Sugar (g),Added Sugar (g),Protein (g),Vitamin A (iu),Vitamin C (mg),Calcium (mg),Iron (mg),Vitamin A (rae),Phosphorus (mg),Potassium (mg),Vitamin D(iu),Allergens,Ingredients
Frary_Dinner_Vegetarian Tenders,Frary,Dinner,Pizza,Vegetarian Tenders,85.05 FHP2,164.08,7.03,0.78,0,0,312.53,13.29,2.35,0.78,NA,12.5,0,0,31.26,2.11,0,0,N/A,N/A,"Soy, Wheat","Water, Soy Protein Isolate, Expeller Pressed Canola Oil, Vital Wheat Gluten, Modified Vegetable Gum, Yeast Extract, Sea Salt, Organic Ancient Grain Flour (Kamut Khorasan Wheat, Amaranth, Millet, Quinoa), Natural Flavors (From Plant Sources), Organic Cane Sugar, Potato Starch, Onion Powder, Garlic Powder, Pea Protein, Vinegar, Carrot Fiber, Beetroot Fiber, Color Added, Extractives Of Paprika And Turmeric, Seven Grain Breading: Wheat Flour, Water, Rice Flour, Oat Bran, Oats, Salt, Sugar, Spices, Millet Flour, Amaranth Flour, Quinoa Flour, Kamut Khorasan Wheat, Leavening (Sodium Bicarbonate, Cream Of Tartar), Yeast, Extractives Of Paprika. Contains: Soy and Wheat Non Genetically Engineered Soybeans And Wheat"
Frary_Dinner_Rice Noodles/Cooked,Frary,Dinner,Pizza,Rice Noodles/Cooked,4248.00 FHP2,1600,0,0,NA,0,163.673,351.984,0,0,NA,44.0037,0,0,113.76,0,0,0,N/A,N/A,,Rice Flour
Frary_Dinner_Wild Rice Blend,Frary,Dinner,Pizza,Wild Rice Blend,85.05 FHP2,8.57,0.09,0,NA,0,0.32,2,0.17,0,NA,0.23,0,0,0.24,0.02,0,0,N/A,N/A,,"Water;Organic long grain brown rice, organic sweet brown rice, organic wild rice bits, organic wehani, and organic black japonica.;"
Frary_Dinner_Steamed Broccoli,Frary,Dinner,Pizza,Steamed Broccoli,85.00 FHP2,23.8,0.3,0.05,NA,0,22.95,4.45,NA,NA,NA,2.53,2549.99,79.22,40.8,0.75,276.25,0,N/A,N/A,,Broccoli
Frary_Dinner_Sun Butter Sweet Chili Sauce,Frary,Dinner,Pizza,Sun Butter Sweet Chili Sauce,241.28 CUP,556.714,34.5654,4.04099,NA,NA,4539.51,40.9331,4.45196,26.9142,NA,22.5538,76.9241,0.553157,50.5549,3.34136,2.97E-09,2.97E-09,N/A,N/A,Soy,"Soy Sauce (Water, Whole Soybeans (OCIA certified), Salt, Alcohol (to preserve freshness).;Roasted Sunflower Seeds, Sugar, Mono and Diglycerides, Salt;Water;Sugar, Water, Pickled Red Chili, Vinegar, Garlic, Salt, Xanthan Gum;Rice Wine Vinegar, Sugar, Salt, Potassium Metabisulfite (as a preservative);Crushed Red Pepper;"
Frary_Dinner_Bacon Jalapeno Grilled Cheese,Frary,Dinner,Grill Station,Bacon Jalapeno Grilled Cheese,193.00 EA,724.92,55,27.25,0,138.39,1109.08,33.21,0.62,5.68,NA,21.31,1507.97,25.48,301.27,0.11,0,0,N/A,N/A,"Egg, Milk, Soy, Wheat","White Pullman Bread (Enriched unbleached wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, and folic acid), water, high fructose corn syrup, yeast. Contains 2% or less of each of the following: Salt, vegetable oil (canola and/or soy), distilled vinegar, extract of malted barley, yeast nutrient (ammonium sulphate), dough conditioners (mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, azodicarbonamide, monocalcium phosphate), defatted soy flour, calcium propionate (mold inhibitor), calcium sulfate, enzymes, nonfat dry milk, soy flour)).;Pasteurized Milk And Cream, Salt, Carob Bean Gum, Cheese Culture;Unsalted Butter (Pasteurized Cream);Mild Cheddar Cheese (Cultured pasteurized milk, salt, enzymes, annatto (color)), Corn Starch, Potato Starch and Powdered cellulose (to prevent caking), Natamycin (natural mold inhibitor);Jalapeno;Pork Cured with Water, Salt, Sugar, Sodium Phosphates, Sodium Erythorbate, Sodium Nitrite, May Contain Honey;Monterey Jack Cheese (Cultured pasteurized milk, salt, enzymes), Corn Starch, Potato Starch and Powdered Cellulose (to Prevent Caking), Natamycin (Natural Mold Inhibitor).;Mayonnaise (Soybean Oil, Vinegar, Eggs, Water, Salt, Egg Yolks, Sugar, Calcium Disodium EDTA (to Protect Flavor), Dried Garlic, Dried Onions, Natural Flavor.);Garlic;Kosher Salt;Black Pepper;"
Frary_Dinner_Grilled Halal Chicken Breast,Frary,Dinner,Grill Station,Grilled Halal Chicken Breast,85.00 FHP2,217.02,16.69,3.64,0.02,62.42,178.61,0.26,0.05,0.04,NA,15.01,117.38,1.78,10.02,0.77,2.16,0,N/A,N/A,,"Halal Chicken Breast (May Contain Up To 2% Absorbed Water), Canola Oil, Lemon Juice, Kosher Salt, Black Pepper, Onion Powder, Garlic"
Frary_Dinner_French Fries,Frary,Dinner,Grill Station,French Fries,85.00 FHP2,104.76,3.34,0,0,0,28.57,17.15,1.9,0,NA,1.9,0,4.57,0,0.34,0,0,N/A,N/A,Soy,"Fries (Potatoes, Vegetable Oil (Contains One Or More Of The Following Oils: Canola, Soybean, Cottonseed, Sunflower, Corn), Contains 2% Or Less Of Dextrose, Sodium Acid Pyrophosphate Added To Maintain Natural Color)"
Frary_Dinner_Onion Rings,Frary,Dinner,Grill Station,Onion Rings,85.00 FHP2,130.24,0,0,0,0,503.58,28.65,0.87,2.6,NA,3.47,0,2.09,0,0.63,0,0,N/A,N/A,"Milk, Wheat","Onion Ring (Onions, Water, Bleached Wheat Flour, Enriched Wheat Flour (Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Yellow Corn Flour, Enriched Bleached Wheat Flour (Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Potato Starch, Contains 2% Or Less Of Dextrose, Natural Flavor, Salt, Whey, Yeast)"
Frary_Dinner_Tomato Basil Bisque,Frary,Dinner,Soup Station,Tomato Basil Bisque,236.00 GAL,145.4,9.77,6.42,NA,37.68,411.14,11.45,2.05,4.93,NA,1.47,687.79,13.82,31.61,1.13,11.79,0,N/A,N/A,"Milk, Soy, Wheat","Water, Vine-Ripened Tomatoes, Salt, Citric Acid, And Calcium Chloride, White Onion, Cream, Carrageenan, Mono And Diglycerides, Polysorbate 80 (Vegetarian), Celery, Tomatoes, Parmesan Cheese (Pasteurized Part-Skim Milk, Cheese Culture, Salt, Enzymes), Powdered Cellulose To Prevent Caking, Natamycin To Protect Flavor, All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Unsalted Butter (Pasteurized Cream), Unbleached Enriched Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sour Culture, Salt, Yeast, Semolina, Garlic, Vegetables And Vegetable Juice Concentrate (Carrots, Celery, Onion, Tomato) Salt, Soy Sauce (Water, Soybeans, Salt, Alcohol), Cane Sugar, Maltodextrin, Yeast Extract, Potato Starch, Onion Powder, Garlic Powder, Spice,, Basil, Cane Sugar, Whole Fennel Seed, Canola Oil, Kosher Salt, Black Pepper, Dill, Bay Leaf, Garlic, Paprika, Marjoram, Thyme, Rosemary, Savory, Sage, Oregano, And Basil"
Frary_Dinner_Harvest Salad,Frary,Dinner,Salad Bar,Harvest Salad,85.00 HHP4,105.87,6.48,2.39,NA,9.52,201.39,9.54,1.89,6.33,NA,3.19,1359.17,8.8,77.21,0.51,61.87,0,N/A,N/A,Milk,"Avocado, Tomato, Baby Spinach, Blue Cheese (Pasteurized Milk, Cheese Cultures, Salt, Enzymes), Natamycin To Protect Flavor, Red Onion, Raspberries, Corn Syrup, High Fructose Corn Syrup, Sugar, Citric Acid, Pectin, Sodium Benzoate, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Red Wine Vinegar, Water, Potassium Metabisulfite, Dried Cranberries (Cranberries, Sugar, Sunflower Oil), Kosher Salt, Black Pepper"
Frary_Dinner_Cannolis,Frary,Dinner,Desserts,Cannolis,25.00 EA,86,4.33,0.94,NA,9.57,16.79,10.2,0,1.06,4.28,1.91,NA,NA,18.88,NA,0,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Impastata Ricotta (whole Milk, Vinegar, Salt), Cane Sugar, Cocoa Drops (sugar, Palm Kernel And Palm Oil, Cocoa, Cocoa Processed With Alkali, Salt, Soy Lecithin (an Emulsifier), Vanilla, Cinnamon Oil);Unbleached, Unbromated Flour, Pasteurized Eggs, Non-hydrogenated Palm Oil (citric Acid), Cane Sugar, Vinegar, Salt, Cinnamon.;Sugar, Cornstarch;"
Frary_Dinner_Magic Bars,Frary,Dinner,Desserts,Magic Bars,84.00 BAR,360.6,16.01,11.28,0,18.74,130.91,48.96,1.4,41.62,NA,5.05,217.06,0.36,151.99,0.34,0,0,N/A,N/A,"Milk, Soy, Wheat","Sweetened Condensed Milk (Concentrated Whole Milk, Sugar), Sugar, Fractionated Palm Kernel Oil, Milk, Nonfat Milk, Natural Flavors (Contains Milk), Hydrogenated Palm Oil, Soy Lecithin, Color (Color Added, Paprika Oleoresin, Glucose Syrup Solids, Tocopherol)., Sugar, Chocolate Liquor, Cocoa Butter, Soya Lecithin (An Emulsifier), Vanilla Extract., Graham Cracker Crumb (Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate Vitamin B1, Riboflavin Vitamin B2, Folic Acid), Graham Flour (Whole Grain Wheat Flour), Sugar, Soybean Oil, Molasses, High Fructose Corn Syrup, Partially Hydrogenated Cottonseed Oil, Leavening (Baking Soda And/Or Calcium Phosphate), Salt.), Coconut, Sugar, Water, Propylene Glycol, Salt, Sodium Metabisulfite, Unsalted Butter (Pasteurized Cream),"
Frary_Dinner_Vegan Banana Cake with Vegan Streusel Topping,Frary,Dinner,Desserts,Vegan Banana Cake with Vegan Streusel Topping,78.00 EA,187.86,5.16,2.08,NA,0,210.41,34.02,1.35,19.44,NA,2.12,14.86,2.24,26.89,0.98,15.14,0,N/A,N/A,"Soy, Wheat","Bananas, All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Cane Sugar, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Coconut Milk (Coconut Extract, Water, Citric Acid, Sodium Metabisulfite (Preservative)), Brown Sugar, Expeller-Pressed Natural Oil Blend (Soybean, Palm Fruit, Canola And Olive), Filtered Water, Pure Salt, Natural Flavor (Derived From Corn, No Msg, No Alcohol, No Gluten), Soy Protein, Soy Lecithin, Lactic Acid (Derived From Sugar Beets), And Naturally Extracted Annatto For Color, Gluten Free Rolled Oats, Baking Powder (Monocalcium Phosphate, Sodium Bicarbonate, Cornstarch), Iodized Salt, Sodium Bicarbonate, Nutmeg, Cinnamon"
Frary_Breakfast_Scrambled Eggs,Frary,Breakfast,Mainline,Scrambled Eggs,85.05 SHT4,117.65,7.55,2.73,0,301.16,115.15,0,0,0,NA,10.63,531.45,NA,70.86,1.92,0,0,N/A,N/A,Egg,"Cage Free Whole Eggs, Citric Acid, 0,15% Water Added As Carrier For Citric Acid, Citric Acid Added To Preserve Color, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil"
Frary_Breakfast_Scrambled Egg Whites,Frary,Breakfast,Mainline,Scrambled Egg Whites,85.00 SHT4,46.2,0,0,0,0,147.82,0,0,0,NA,9.24,0,0,0,0,0,0,N/A,N/A,Egg,"Egg Whites, Triethyl Citrate Added As A Whipping Agent"
Frary_Breakfast_Beyond Breafast Sausage (Coop),Frary,Breakfast,Mainline,Beyond Breafast Sausage (Coop),47.00 EA,130,10,4,0,0,210,1,1,0,NA,9,NA,NA,20,NA,105,NA,N/A,N/A,,"Water, Pea Protein, Expeller-Pressed Canola Oil, Refined Coconut Oil, Natural Flavors, Inactivated Yeast, Rice Protein, Methylcellulose, Yeast Extract niacin (Vitamin B3), pyridoxine hydrochloride (Vitamin B6), thiamin hydrochloride (Vitamin B1), riboflavin (Vitamin B2), folic acid (Vitamin B9), cyanocobalamin (Vitamin B12), Apple Extract, Salt, Pomegranate Extract, Vinegar, Lemon Juice Concentrate, Sunflower Lecithin, Beet Juice Extract (for color), Carrot."
Frary_Breakfast_Tofu Scramble,Frary,Breakfast,Mainline,Tofu Scramble,113.00 FHP2,72.83,3.93,0.41,NA,0,168.13,4.72,1.17,2.02,NA,6.26,395.09,21.1,109.65,1.46,0,0,N/A,N/A,Soy,"Tofu (Water, Soybeans, Calcium Sulfate), White Onion, Tomato, Green Bell Pepper, Red Bell Pepper, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Seasoned Salt (Salt, Sugar, Maltodextrin, Chili Pepper, Onion, Garlic, Spices (Including Red Pepper), Spice And Coloring, Extractives Of Paprika, And Natural Flavor), Turmeric, Black Pepper"
Frary_Breakfast_Soyrizo Cheddar Scramble,Frary,Breakfast,Mainline,Soyrizo Cheddar Scramble,85.00 FHP2,119.56,7.15,2.46,NA,226.26,277.21,2.37,0.99,0.84,NA,10.41,713.95,3.84,79.26,1.86,1.03,0,N/A,N/A,"Egg, Milk, Soy","Cage Free Whole Eggs, Citric Acid  Added To Preserve Color., Soyrizo (Water, Textured Soy Protein (Soy Flour), Distilled Vinegar, Seasoning Blend (Spices, Salt, Dextrose, Paprika, Onion Powder, Garlic Powder) Soybean Oil, Caramel Color, Salt, Xanthan Gum, Extractives Of Paprika), Red Onion, Red Bell Pepper, Mild Cheddar Cheese (Cultured Pasteurized Milk, Salt, Enzymes, Annatto (Color)), Corn Starch, Potato Starch And Powdered Cellulose (To Prevent Caking), Natamycin (Natural Mold Inhibitor), Cilantro, Kosher Salt, Black Pepper"
Frary_Breakfast_Hard Boiled Eggs,Frary,Breakfast,Mainline,Hard Boiled Eggs,44.00 FHP2,62.92,4.18,1.38,0.02,163.68,62.48,0.32,0,0.16,NA,5.53,237.6,0,24.64,0.77,0,0,N/A,N/A,Egg,Egg
Frary_Breakfast_Battered Breakfast Potatoes,Frary,Breakfast,Mainline,Battered Breakfast Potatoes,85.10 HHP2,106.13,3.86,0.49,0,0,424.54,19.3,0.96,0.96,0,1.93,NA,4.63,0,0.7,202.62,0,N/A,N/A,"Soy, Wheat","Potatoes, Vegetable Oil (contains One Or More Of The Following Oils: Canola, Soybean, Cottonseed, Sunflower, Corn), Bleached Enriched Wheat Flour (flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid). Contains 2% Or Less Of Caramel Color, Cocoa Powder (processed With Alkali), Degermed Yellow Corn Meal, Dextrin, Dextrose, Garlic Powder, Leavening (sodium Acid Pyrophosphate, Sodium Bicarbonate), Natural Garlic Flavor, Onion Powder, Paprika Extract (color), Rice Flour, Salt, Sodium Acid Pyrophosphate Added To Maintain Color, Spices, Tapioca Starch, Tapioca Starch - Modified, Xanthan Gum."
Frary_Breakfast_OMELET BAR/description,Frary,Breakfast,Expo Station,OMELET BAR/description,219.77 EA,503.93,38.17,15.09,0.02,572.15,885.25,2.41,0,0.6,NA,36.55,1364.75,0,439.53,3.4,0,0,N/A,N/A,"Egg, Milk","Cage Free Whole Eggs, Citric Acid, 0.15% Water Added As Carrier For Citric Acid, Citric Acid Added To Preserve Color, Mild Cheddar Cheese (Cultured Pasteurized Milk, Salt, Enzymes, Annatto (Color)), Corn Starch, Potato Starch And Powdered Cellulose (To Prevent Caking), Natamycin (Natural Mold Inhibitor), Smoked Ham (Solution Ingredients: Water, Salt, Turbinado Sugar, Natural Flavor, Lactic Acid Starter Culture (Not From Milk)), Turkey Breast, Turkey Broth, Honey, Salt, Brown Sugar, Potassium Lactate, Sodium Phosphate, Sodium Diacetate, Sodium Erythorbate, Sodium Nitrite, Pork Cured With Water, Salt, Sugar, Sodium Phosphates, Sodium Erythorbate, Sodium Nitrite, May Contain Honey, Canola Oil"
Frary_Breakfast_Fried Egg,Frary,Breakfast,Expo Station,Fried Egg,44.00 EA,62.92,4.18,1.38,0.02,163.68,62.48,0.32,0,0.16,NA,5.53,237.6,0,24.64,0.77,0,0,N/A,N/A,Egg,Egg
Frary_Breakfast_Monte Cristo Sandwich,Frary,Breakfast,Grill Station,Monte Cristo Sandwich,331.00 EA,802.41,34.57,19.61,NA,352.44,1737.75,86.66,2.36,41.33,NA,34.65,648.58,12,313.24,4.7,18.3,0,N/A,N/A,"Egg, Milk, Wheat","Enriched Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Unsalted Butter, Sugar, Yeast, Eggs, Salt, Enzymes, Sodium Stearoyl Lactylate, Calcium Propionate (Mold Inhibitor, Smoked Ham (Solution Ingredients: Water, Salt, Turbinado Sugar, Natural Flavor, Lactic Acid Starter Culture (Not From Milk)), Cage Free Whole Eggs, Citric Acid, 0.15% Water Added As Carrier For Citric Acid, Orange Marmalade (Orange Juice Concentrate, Water), Corn Syrup, Sugar, Orange Peel, Citric Acid, Pectin, Potassium Sorbate (Preservative), Part Skim Milk, Cheese Cultures, Salt, Enzymes, Dijon Mustard (Water, Vinegar, Mustard Seed, Salt, White Wine, Fruit Pectin, Citric Acid, Tartaric Acid, Sugar, Spice), Unsalted Butter (Pasteurized Cream), Turkey Breast, Turkey Broth, Honey, Salt, Brown Sugar, Potassium Lactate, Sodium Phosphate, Sodium Diacetate, Sodium Erythorbate, Sodium Nitrite, Milk, Vitamin D3, Sugar, Cornstarch, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Kosher Salt, Nutmeg"
